goos: darwin
goarch: arm64
pkg: luabench
cpu: Apple M1 Pro
BenchmarkStandard/permute/luart-10            	     799	   1497062 ns/op	     205 B/op	       2 allocs/op
BenchmarkStandard/permute/luart-10            	     804	   1499239 ns/op	     205 B/op	       2 allocs/op
BenchmarkStandard/permute/luart-10            	     792	   1532085 ns/op	     205 B/op	       2 allocs/op
BenchmarkStandard/permute/luart-jit-10        	    2467	    488163 ns/op	     285 B/op	       2 allocs/op
BenchmarkStandard/permute/luart-jit-10        	    2458	    483676 ns/op	     285 B/op	       2 allocs/op
BenchmarkStandard/permute/luart-jit-10        	    2473	    486990 ns/op	     285 B/op	       2 allocs/op
BenchmarkStandard/permute/luart-jit-10        	    2496	    483099 ns/op	     284 B/op	       2 allocs/op
BenchmarkStandard/permute/luart-jit-10        	    2442	    482505 ns/op	     286 B/op	       2 allocs/op
BenchmarkStandard/permute/luart-jit-10        	    2497	    478136 ns/op	     284 B/op	       2 allocs/op
BenchmarkStandard/permute/shopify-10          	     342	   3578970 ns/op	  384670 B/op	   39371 allocs/op
BenchmarkStandard/permute/shopify-10          	     339	   3536950 ns/op	  384670 B/op	   39371 allocs/op
BenchmarkStandard/permute/shopify-10          	     330	   3561768 ns/op	  384672 B/op	   39371 allocs/op
BenchmarkStandard/permute/shopify-10          	     337	   3544262 ns/op	  384671 B/op	   39371 allocs/op
BenchmarkStandard/permute/shopify-10          	     339	   3545200 ns/op	  384670 B/op	   39371 allocs/op
BenchmarkStandard/permute/shopify-10          	     339	   3514899 ns/op	  384670 B/op	   39371 allocs/op
BenchmarkStandard/queens/luart-10             	    1311	    919099 ns/op	   11543 B/op	      80 allocs/op
BenchmarkStandard/queens/luart-10             	    1314	    932524 ns/op	   11542 B/op	      80 allocs/op
BenchmarkStandard/queens/luart-10             	    1291	    921010 ns/op	   11543 B/op	      80 allocs/op
BenchmarkStandard/queens/luart-10             	    1314	    916280 ns/op	   11542 B/op	      80 allocs/op
BenchmarkStandard/queens/luart-10             	    1311	    927353 ns/op	   11542 B/op	      80 allocs/op
BenchmarkStandard/queens/luart-10             	    1300	    933632 ns/op	   11542 B/op	      80 allocs/op
BenchmarkStandard/queens/luart-jit-10         	    4068	    289976 ns/op	   11604 B/op	      80 allocs/op
BenchmarkStandard/queens/luart-jit-10         	    4093	    291657 ns/op	   11603 B/op	      80 allocs/op
BenchmarkStandard/queens/luart-jit-10         	    4084	    290133 ns/op	   11603 B/op	      80 allocs/op
BenchmarkStandard/queens/luart-jit-10         	    4040	    289373 ns/op	   11605 B/op	      80 allocs/op
BenchmarkStandard/queens/luart-jit-10         	    4112	    294769 ns/op	   11603 B/op	      80 allocs/op
BenchmarkStandard/queens/luart-jit-10         	    4094	    290000 ns/op	   11603 B/op	      80 allocs/op
BenchmarkStandard/queens/shopify-10           	     590	   2037562 ns/op	  294842 B/op	   35310 allocs/op
BenchmarkStandard/queens/shopify-10           	     594	   2036682 ns/op	  294842 B/op	   35310 allocs/op
BenchmarkStandard/queens/shopify-10           	     576	   2134677 ns/op	  294843 B/op	   35310 allocs/op
BenchmarkStandard/queens/shopify-10           	     586	   2043344 ns/op	  294843 B/op	   35310 allocs/op
BenchmarkStandard/queens/shopify-10           	     585	   2049524 ns/op	  294843 B/op	   35310 allocs/op
BenchmarkStandard/queens/shopify-10           	     588	   2145686 ns/op	  294844 B/op	   35310 allocs/op
BenchmarkStandard/richards/luart-10           	      28	  41207086 ns/op	   12930 B/op	     106 allocs/op
BenchmarkStandard/richards/luart-10           	      28	  41027388 ns/op	   12930 B/op	     106 allocs/op
BenchmarkStandard/richards/luart-10           	      28	  41015368 ns/op	   12930 B/op	     106 allocs/op
BenchmarkStandard/richards/luart-10           	      28	  40708385 ns/op	   12930 B/op	     106 allocs/op
BenchmarkStandard/richards/luart-10           	      28	  41678260 ns/op	   12930 B/op	     106 allocs/op
BenchmarkStandard/richards/luart-10           	      28	  41273732 ns/op	   12930 B/op	     106 allocs/op
BenchmarkStandard/richards/luart-jit-10       	      49	  23477048 ns/op	   32869 B/op	     118 allocs/op
BenchmarkStandard/richards/luart-jit-10       	      50	  23198202 ns/op	   32420 B/op	     117 allocs/op
